5,5,1,10,13,1,1,13,3,12,1,9,3,9,16,1,2,8,2,4,14,0,2,10,7,5,1,15,1,9
2,9,3,6,3,5,9,1,5,1,2,10,7,8,10,9,1,13,3,4,5,4,1,9,1,12,10,0,6,2
4,3,6,3,6,5,2,5,8,10,8,7,1,11,15,4,9,2,1,12,1,12,4,2,4,8,13,6,5,7
11,6,9,6,4,9,8,9,14,4,3,8,12,5,8,8,11,5,8,2,3,11,5,5,13,3,5,2,2,11
9,1,14,4,2,6,7,4,2,8,4,5,4,7,2,2,7,6,10,3,4,4,13,6,15,0,4,8,8,5
3,11,2,6,5,4,6,3,13,0,5,3,9,4,1,8,6,5,13,0,7,7,15,1,6,2,9,3,4,7
8,9,11,4,1,15,11,2,1,7,12,0,6,3,11,0,15,0,6,3,2,10,6,7,16,0,15,2,3,0
6,6,4,2,10,2,3,1,9,4,16,1,2,7,4,3,5,2,5,3,16,0,12,1,2,7,6,0,12,2
1,4,12,1,8,6,14,6,7,3,9,1,11,0,14,5,16,0,9,3,15,0,11,4,3,5,12,1,7,3
16,1,13,3,9,1,15,3,6,6,7,5,8,2,3,4,10,3,12,3,8,1,10,4,9,3,3,2,11,1
13,0,7,4,16,2,16,1,12,1,6,2,14,0,12,4,12,3,14,4,10,0,16,0,11,5,2,13,14,2
7,1,15,0,11,1,10,2,10,1,14,1,15,3,13,3,4,3,11,6,6,4,7,1,5,2,7,1,13,4
15,0,16,0,14,0,5,3,4,0,11,0,10,0,5,3,13,0,4,4,9,3,3,5,12,0,16,1,10,4
12,2,5,2,7,0,4,3,11,0,15,4,5,3,9,3,14,0,16,2,12,1,8,1,10,2,14,4,16,0
10,0,10,2,12,0,12,1,16,1,10,3,13,0,6,2,8,3,15,3,11,0,9,2,8,4,11,2,9,4
14,1,8,2,15,1,13,1,15,0,13,0,16,0,7,1,3,6,7,2,13,1,14,0,14,0,8,2,15,0
