11,2,1,10,1,8,12,3,6,10,1,12,15,2,6,8,12,3,1,6,4,5,7,4
1,5,12,2,11,1,13,4,10,0,8,9,5,8,1,7,6,11,3,7,1,10,4,7
5,8,3,8,2,11,3,2,8,2,15,1,3,8,2,8,14,5,13,0,3,4,15,0
9,3,16,2,3,7,10,2,1,10,2,10,11,1,7,4,11,0,11,3,5,3,1,12
4,5,13,0,7,8,15,5,7,2,5,2,1,10,11,3,1,13,4,2,6,2,11,0
12,3,10,2,5,8,2,15,3,6,7,5,10,3,9,2,3,2,10,5,10,2,13,5
2,2,11,0,16,0,1,10,2,5,4,8,12,1,14,0,7,7,9,4,15,2,8,3
10,4,7,3,4,4,9,0,16,0,16,2,2,7,12,3,2,2,2,5,16,1,5,6
6,5,14,5,13,3,8,4,11,5,6,0,13,0,3,13,13,3,12,2,12,4,6,3
8,2,9,2,10,1,4,6,9,4,9,0,6,2,16,0,10,0,6,11,2,11,12,0
3,8,5,1,14,0,16,0,13,1,13,1,7,5,5,4,9,1,5,4,7,2,3,3
14,3,2,7,6,1,7,1,14,0,11,0,14,1,4,5,5,3,8,7,8,2,16,0
13,0,4,8,15,1,6,4,5,3,3,5,16,0,13,2,16,1,14,0,14,2,9,4
7,3,6,7,8,4,5,0,15,0,12,0,4,8,8,1,8,0,7,2,11,0,10,0
16,0,8,2,12,1,11,2,4,4,14,4,9,1,15,0,15,0,15,0,9,1,2,7
15,0,15,0,9,1,14,0,12,5,10,1,8,4,10,1,4,5,16,0,13,4,14,1
