15,1,5,1,2,11,3,11,3,8,3,9,8,5,2,10,12,2,16,0,12,4,15,5
5,5,11,0,5,3,11,3,5,4,10,0,7,11,8,3,2,7,2,8,1,5,2,6
1,8,1,10,9,7,13,1,11,3,1,4,16,1,7,6,9,4,7,5,8,1,3,5
7,3,2,18,10,1,2,15,10,6,4,2,12,3,10,3,8,2,6,10,13,4,8,5
4,1,7,1,1,7,15,0,2,6,2,10,4,5,3,6,16,0,5,2,4,7,9,2
14,3,13,4,15,1,1,7,13,0,7,8,1,16,14,1,3,4,12,1,6,2,4,11
2,9,4,8,16,0,7,2,7,5,13,2,10,1,1,11,7,9,9,4,5,10,16,2
11,2,8,4,3,3,8,6,14,1,9,5,14,2,12,4,10,4,1,9,2,7,5,2
8,3,3,3,4,7,9,3,4,6,15,1,11,3,6,5,1,14,14,1,11,3,11,0
9,1,14,1,6,3,12,0,1,9,8,5,13,2,9,3,6,5,8,1,3,5,10,0
6,6,6,6,12,2,4,3,6,0,11,2,3,2,5,5,14,0,13,4,15,0,13,4
16,1,10,1,13,4,14,2,8,1,12,1,5,1,4,0,4,2,3,7,7,3,14,3
3,7,15,0,11,4,5,0,9,8,6,5,15,0,15,0,15,0,11,1,9,5,12,2
10,2,9,2,14,1,6,4,16,1,5,3,9,0,11,0,11,4,4,6,10,3,7,3
13,5,12,0,7,1,16,0,15,0,16,2,2,5,13,3,13,2,15,0,16,0,6,6
12,0,16,0,8,6,10,0,12,1,14,1,6,1,16,0,5,0,10,1,14,0,1,5
