10,3,5,7,1,15,1,21,15,2,3,3,3,9,6,4,6,4,6,2,2,7,7,8,5,4,4,0,16,0,5,2,7,1,1,8
3,6,9,6,2,5,2,4,8,2,5,7,2,13,3,10,2,7,9,1,13,0,6,2,1,13,9,1,6,12,14,2,3,5,10,7
5,4,1,5,11,2,6,5,5,4,8,1,6,7,1,6,1,5,1,14,10,8,5,7,15,0,5,8,5,1,2,7,8,1,9,0
4,1,8,6,16,0,11,1,11,0,4,4,10,3,4,0,10,4,2,4,1,6,15,2,3,15,1,12,4,4,1,6,2,3,3,1
13,0,2,7,10,2,3,6,3,14,2,8,9,8,12,2,16,0,4,7,9,1,14,2,8,4,6,4,3,12,3,10,4,2,13,4
6,6,11,0,13,2,5,2,2,10,15,2,11,0,2,10,9,2,15,1,7,4,3,5,11,0,7,10,9,2,9,7,1,16,2,9
9,4,12,1,3,7,15,1,14,1,1,9,4,1,10,2,13,1,11,8,5,5,1,9,2,1,2,3,1,4,8,3,9,4,14,2
1,9,15,2,12,1,7,4,6,9,11,1,8,4,9,4,15,1,3,6,16,1,4,11,4,4,13,0,11,1,4,6,10,4,8,0
14,2,14,3,4,7,4,3,13,0,9,2,15,1,7,5,5,7,8,0,15,1,9,2,7,3,12,4,2,10,16,0,6,8,5,6
16,0,3,5,7,4,8,2,10,3,16,0,5,0,8,5,11,3,7,8,8,7,13,1,14,0,8,8,10,0,6,5,11,0,6,8
15,3,13,1,6,3,10,2,12,5,12,4,7,4,16,0,14,1,14,3,6,6,8,1,12,1,3,5,14,3,10,2,14,4,4,10
11,2,7,3,9,2,14,2,1,4,13,3,1,6,13,2,7,2,12,0,4,4,11,2,13,2,15,1,12,2,7,3,12,2,7,0
12,4,10,6,14,3,9,1,7,3,6,7,14,1,14,1,12,9,13,0,14,0,2,5,16,3,16,2,13,3,15,1,13,5,11,3
8,7,6,3,5,1,13,2,9,1,10,4,12,1,15,1,3,6,10,5,3,5,10,1,9,3,11,0,8,1,11,0,16,0,15,0
2,4,16,0,8,5,12,4,16,1,7,2,16,2,11,0,8,4,5,1,11,1,16,1,6,1,10,0,7,3,13,3,5,0,16,0
7,3,4,2,15,0,16,0,4,1,14,0,13,0,5,6,4,1,16,1,12,4,12,1,10,1,14,0,15,1,12,4,15,1,12,2
