10,2,1,19,1,19,12,5,2,16,11,8,6,5,2,10,9,8,5,11,15,4,6,10
1,16,4,6,4,8,11,0,1,11,3,9,4,7,8,1,2,14,13,0,16,4,1,11
8,2,15,0,8,3,1,19,6,4,10,3,14,0,3,6,3,10,2,6,2,11,10,8
7,3,2,4,11,0,2,4,12,2,7,2,2,3,9,4,8,3,1,10,4,5,5,5
2,8,6,0,6,5,3,3,9,1,2,4,3,3,4,1,5,5,14,3,11,2,12,0
3,2,8,2,2,7,7,2,15,0,12,2,5,0,13,6,11,0,8,4,1,8,4,0
15,2,13,3,10,0,4,2,8,0,14,2,10,6,1,9,13,0,6,1,3,5,3,4
5,4,5,11,9,2,8,2,10,2,8,0,13,2,11,1,16,2,4,11,7,6,8,3
6,6,9,2,5,4,6,2,13,0,15,0,1,10,5,8,12,0,15,0,5,2,14,1
12,0,12,4,3,2,13,4,4,4,5,4,11,7,7,4,14,0,9,6,14,0,2,4
9,1,3,6,12,2,5,8,5,12,6,5,9,1,15,0,4,1,10,1,6,2,13,0
13,2,7,0,16,2,15,0,16,0,1,9,12,5,10,3,1,2,7,2,10,4,15,0
14,1,11,4,14,0,14,4,3,1,4,6,8,3,6,3,10,4,12,2,8,1,11,3
4,4,14,0,7,1,10,1,11,4,9,3,16,0,14,1,7,4,3,3,12,3,9,3
11,1,10,1,13,1,9,1,14,1,16,1,7,6,12,1,6,3,16,0,9,0,16,2
16,0,16,0,15,1,16,2,7,1,13,0,15,1,16,1,15,4,11,0,13,4,7,4
