14,1,9,1,16,0,7,3,11,1,1,9,13,3,2,11,6,9,1,12,1,19,5,6,5,4,3,12,6,4,4,9,13,8,5,10,1,14,10,4
15,3,1,16,13,5,5,5,8,2,16,2,9,1,1,7,1,15,2,11,10,1,1,12,6,3,1,7,3,15,12,1,16,0,11,1,13,1,1,22
2,13,5,10,4,7,6,6,7,8,7,2,1,12,3,4,10,3,3,5,8,2,13,2,1,11,12,3,1,14,1,13,12,0,3,3,4,8,16,0
5,6,15,0,5,5,1,10,5,3,15,4,2,11,4,9,4,5,6,1,11,1,3,7,3,4,2,7,7,2,11,3,9,5,16,0,2,9,6,3
1,9,10,2,1,11,11,0,9,0,6,2,14,0,10,6,2,7,4,8,3,3,2,5,10,4,9,3,4,4,13,4,11,2,15,2,14,1,2,3
11,2,16,0,10,6,3,8,3,6,3,3,15,0,5,9,11,4,7,3,7,12,7,7,9,6,10,4,14,3,7,8,14,3,2,8,8,4,12,3
8,6,3,12,2,8,9,3,10,1,11,3,5,8,8,3,13,2,13,4,16,0,8,3,7,3,6,10,5,7,16,1,5,7,4,7,5,2,7,2
3,7,6,2,14,3,13,1,15,3,4,14,3,4,7,1,3,5,11,1,6,1,11,2,12,1,11,2,10,2,3,3,2,3,6,6,11,0,11,6
9,2,8,2,3,6,4,6,2,7,2,0,6,1,16,3,15,0,5,5,12,1,10,2,13,2,8,0,12,2,9,0,3,4,1,14,9,0,4,0
12,1,2,5,7,0,16,1,1,5,10,7,4,4,9,0,14,3,12,0,2,8,12,4,15,3,14,0,15,0,14,0,8,2,8,0,12,7,14,2
6,4,12,4,6,0,15,0,6,8,12,3,7,8,14,0,5,2,14,0,9,3,15,0,11,2,16,0,8,0,2,5,6,5,7,3,3,2,3,1
16,0,13,0,8,1,14,3,16,3,5,3,10,1,11,4,7,1,9,3,13,1,16,1,2,6,4,2,13,0,6,4,1,11,13,0,16,0,9,8
4,0,4,5,11,1,12,2,13,0,14,3,16,1,6,1,8,4,8,2,4,1,14,3,4,2,15,0,2,5,5,0,7,2,10,1,7,5,5,0
7,0,11,1,15,2,8,2,4,6,8,2,8,1,13,1,12,1,16,0,15,2,4,0,8,5,7,2,11,1,15,1,4,8,12,2,15,0,8,0
10,2,14,0,9,1,2,2,14,2,9,1,12,3,15,0,9,0,10,2,5,3,9,1,16,1,13,1,9,1,10,4,10,0,9,3,6,6,13,4
13,1,7,0,12,1,10,2,12,2,13,1,11,0,12,0,16,0,15,0,14,0,6,4,14,1,5,2,16,1,8,1,15,0,14,0,10,1,15,1
