5,8,6,10,5,6,12,1,6,12,4,7,10,4,4,7,2,6,11,2,1,12,5,1
15,3,7,3,6,1,5,8,2,6,2,9,2,5,3,9,4,9,9,6,15,5,12,4
3,14,8,2,14,3,1,14,13,2,3,6,5,1,15,1,1,11,16,0,13,0,3,5
12,1,3,4,2,5,3,4,9,0,13,4,1,16,14,1,10,3,4,7,12,3,1,9
13,2,13,0,15,4,2,6,3,6,8,1,4,13,12,0,5,9,8,3,2,4,2,12
10,3,9,9,3,4,15,1,1,15,15,1,11,0,2,6,15,1,6,2,8,6,10,3
1,9,11,3,13,0,16,0,8,4,5,4,16,0,11,1,3,3,3,9,5,10,7,1
6,1,1,10,16,0,4,1,11,1,6,3,14,0,6,2,13,0,1,8,4,6,15,1
9,1,15,0,1,19,8,4,4,2,10,4,8,4,9,5,12,3,14,1,10,0,16,1
2,6,16,1,10,8,10,0,5,9,14,2,12,1,5,4,6,3,13,4,14,0,6,5
4,3,5,1,9,2,14,1,16,0,11,5,6,4,1,8,14,1,10,2,16,0,4,3
14,0,2,9,8,1,11,1,12,0,1,7,7,0,16,2,16,1,12,2,6,3,9,5
8,3,14,4,4,2,9,9,10,0,9,4,15,0,10,6,8,2,5,7,11,1,14,0
7,3,12,1,7,1,6,3,7,0,12,2,13,5,13,0,11,3,2,3,3,5,13,3
11,3,10,1,11,2,7,5,15,0,16,0,9,6,7,5,7,2,15,1,7,4,11,7
16,0,4,0,12,1,13,0,14,4,7,1,3,1,8,1,9,2,7,2,9,1,8,2
