1,12,3,14,10,3,16,1,5,2,12,3,10,5,3,7,14,5,1,11,3,8,2,9,1,5,13,0,9,7,5,5,1,17,4,11,15,0,1,9
11,4,10,5,1,11,5,0,3,6,4,3,11,1,5,5,12,7,5,1,14,7,1,13,12,2,2,4,12,2,2,17,7,4,13,0,13,0,2,6
8,7,14,3,6,5,2,7,14,0,6,7,8,3,11,4,15,1,8,8,15,1,13,4,6,2,16,1,1,7,15,1,14,1,2,10,1,12,3,5
14,0,1,11,9,3,9,5,16,0,8,3,16,1,1,6,2,3,4,6,12,5,15,2,13,4,10,3,2,14,6,7,5,0,3,5,14,0,7,8
3,7,4,3,5,3,6,1,8,2,2,6,5,3,12,0,6,0,2,9,11,1,7,3,3,9,1,8,7,0,9,9,4,1,11,0,3,6,12,1
10,1,2,3,7,4,15,1,2,6,9,1,1,16,10,3,11,2,15,0,6,1,8,4,8,4,14,7,8,4,12,0,11,9,1,14,16,1,14,5
6,7,5,4,3,6,4,6,6,4,1,11,3,3,7,1,7,2,7,1,9,1,5,7,4,2,6,7,13,2,13,0,16,4,16,3,10,1,13,0
2,2,7,6,11,4,12,1,9,4,3,10,14,1,13,1,13,2,10,4,1,8,6,4,16,0,8,7,4,9,10,1,2,3,9,1,8,4,11,2
12,0,11,4,8,8,14,0,4,12,14,1,6,7,2,8,3,2,13,0,5,6,9,5,5,7,15,0,15,4,7,0,9,2,6,2,5,7,8,4
7,5,9,2,4,4,7,3,11,2,10,8,9,2,9,6,1,11,16,0,7,4,4,0,15,0,3,8,10,0,16,0,15,1,15,1,6,4,5,5
5,3,8,0,16,0,1,13,10,3,7,0,2,4,15,2,8,3,6,4,10,5,14,2,14,3,9,0,3,2,8,4,3,2,8,2,11,2,16,0
9,0,6,5,2,3,11,5,7,2,11,0,4,5,4,1,5,8,14,5,16,0,12,0,9,2,7,0,5,4,11,0,6,3,5,6,12,5,6,4
15,4,12,0,13,1,3,4,15,1,5,1,15,1,14,1,4,5,3,10,8,3,10,0,10,2,5,8,6,1,3,4,10,0,14,2,4,3,10,3
4,3,15,0,14,1,8,6,13,3,16,3,12,2,16,2,10,4,12,3,13,0,3,6,11,2,4,3,14,1,1,5,8,2,12,1,9,2,4,3
13,0,16,0,15,1,10,2,1,10,15,2,7,3,8,10,16,1,9,1,2,9,11,0,7,8,12,3,11,0,14,1,13,4,10,0,7,5,15,1
16,0,13,0,12,2,13,5,12,1,13,0,13,1,6,3,9,0,11,0,4,2,16,0,2,5,11,0,16,2,4,5,12,2,7,3,2,5,9,0
