5,6,1,17,14,3,1,15,9,10,1,19,5,4,4,12,9,7,2,8,5,3,3,8,9,0,10,0,6,4
2,10,13,5,1,7,11,4,1,11,2,6,7,3,13,1,4,4,8,2,15,4,5,5,6,4,1,12,3,11
12,1,9,4,12,2,5,2,14,3,3,6,6,8,1,12,1,8,1,15,7,5,15,1,1,16,8,4,14,1
10,5,16,2,7,2,10,1,15,0,5,5,1,11,8,5,6,3,3,6,4,6,2,8,14,4,11,4,1,7
6,8,3,3,3,4,4,6,3,7,12,1,10,4,3,6,5,3,7,7,1,11,7,2,8,2,9,2,9,3
15,0,15,1,13,7,3,6,7,10,16,0,12,5,15,0,13,6,4,3,11,3,1,8,7,2,2,9,5,7
3,5,11,0,2,2,2,9,5,2,8,0,9,3,2,9,2,6,10,1,13,3,14,1,3,7,4,2,13,0
8,1,12,2,10,3,13,2,4,5,9,2,3,6,10,1,3,4,9,1,2,8,4,6,2,8,7,0,16,4
13,0,7,1,4,4,14,0,2,5,11,3,2,6,6,1,10,3,11,5,8,6,12,5,13,4,5,10,4,3
11,1,5,3,5,7,6,3,13,1,6,3,15,0,9,4,7,5,5,1,3,3,6,2,5,9,15,1,15,0
1,7,4,5,8,3,9,2,11,0,4,3,4,2,11,3,11,0,6,2,10,0,9,3,4,2,6,1,11,1
4,6,8,1,9,5,7,5,6,4,7,6,8,2,12,0,12,0,12,0,14,0,16,0,12,3,3,8,12,1
16,1,14,3,6,5,16,1,8,1,14,0,14,1,5,6,8,2,15,4,6,4,11,3,16,0,12,0,2,6
7,3,2,3,11,0,8,0,10,2,15,1,11,0,7,1,14,1,13,1,12,0,10,1,10,0,13,3,8,2
9,3,6,4,15,1,15,1,16,0,13,0,13,1,16,0,15,3,16,1,9,2,13,2,15,1,16,0,7,4
14,0,10,3,16,1,12,2,12,1,10,0,16,0,14,0,16,2,14,1,16,2,8,3,11,0,14,3,10,5
