10,3,1,10,9,0,10,3,14,2,8,9,11,2,7,6,10,4,1,8,1,20,3,11
2,10,6,3,14,0,1,15,16,0,3,6,16,2,3,3,5,8,8,6,9,0,1,12
3,7,7,4,13,2,14,2,4,4,1,7,2,12,6,7,3,8,12,0,11,6,10,4
8,1,3,5,7,4,2,3,8,5,13,2,1,10,10,4,4,9,4,7,5,3,6,4
1,9,12,1,1,13,8,8,2,9,10,1,8,3,16,1,14,2,2,8,14,0,15,2
14,0,9,1,10,2,13,1,1,6,5,4,12,1,1,9,1,9,14,0,12,3,2,7
6,4,2,5,3,8,6,4,5,6,11,0,5,5,15,4,11,0,6,4,8,3,11,5
16,3,15,5,2,3,9,3,7,2,15,2,10,0,2,12,6,1,5,8,13,0,4,7
15,0,10,1,11,7,16,0,13,0,2,13,3,6,13,1,2,8,10,1,7,2,5,1
12,1,13,2,5,7,4,7,9,0,12,0,4,5,5,3,9,2,3,2,10,3,9,0
7,4,14,2,8,3,5,4,11,2,9,0,9,9,8,5,8,2,11,4,15,4,8,4
11,3,11,4,6,1,7,2,6,6,4,2,14,0,4,3,7,1,7,4,4,1,7,1
4,5,16,2,4,3,15,1,10,7,6,1,13,1,11,1,15,0,16,1,2,7,12,0
5,4,4,3,12,1,12,3,12,1,7,6,6,1,12,0,13,0,9,0,3,3,14,0
13,0,8,4,16,1,3,2,15,2,14,4,15,4,9,1,12,6,13,2,16,0,13,3
9,4,5,4,15,2,11,0,3,5,16,0,7,0,14,1,16,1,15,4,6,2,16,0
