9,2,12,1,1,13,7,4,5,9,7,6,5,8,7,9,9,9,4,16,5,9,11,5,1,11,2,4,10,2
10,2,11,3,2,6,1,8,1,10,4,7,2,6,6,4,11,1,12,1,13,2,13,0,3,13,14,1,5,3
4,3,7,9,6,2,3,7,10,2,1,8,1,10,16,2,10,0,14,1,3,12,8,4,13,2,3,6,11,1
1,12,2,12,10,7,11,0,2,8,16,0,13,2,15,0,1,8,10,2,6,4,10,3,12,1,10,4,3,7
3,11,16,0,9,9,2,8,13,0,14,3,7,4,5,0,3,6,16,3,1,7,9,4,9,1,4,10,14,3
8,0,5,6,4,5,9,1,7,4,6,2,9,1,3,1,2,3,2,5,14,1,16,0,4,2,8,3,1,15
2,5,1,11,14,1,8,5,8,4,12,1,11,2,14,4,8,6,15,3,11,1,14,2,14,1,5,9,13,3
5,3,8,2,3,10,14,0,15,1,10,1,15,0,12,0,6,8,3,3,4,4,1,11,15,0,9,1,8,1
11,0,13,1,5,1,10,0,11,1,2,5,6,0,8,1,14,0,5,4,16,4,2,6,8,6,1,10,16,1
14,1,3,7,15,0,16,2,3,2,8,1,3,10,9,3,4,8,6,5,15,1,12,0,16,0,12,1,4,5
15,1,6,2,11,2,6,5,14,0,3,10,12,2,4,8,7,3,11,1,2,5,6,0,7,4,7,2,9,2
16,2,14,1,8,2,12,1,6,3,9,3,16,0,1,10,13,2,7,6,9,1,5,5,5,4,11,4,6,4
12,6,15,0,12,3,13,5,9,8,13,5,10,1,10,3,5,0,9,1,7,0,15,1,2,6,6,5,2,6
13,0,4,3,13,2,4,5,12,0,15,1,14,0,13,1,16,1,1,4,8,0,3,11,6,6,13,2,7,2
6,6,10,0,16,0,5,5,16,1,5,4,4,8,2,9,12,2,13,0,10,3,4,2,11,0,15,0,12,0
7,2,9,1,7,0,15,2,4,1,11,3,8,4,11,2,15,0,8,6,12,3,7,0,10,1,16,0,15,3
