5,6,1,15,12,3,1,5,15,2,9,4,2,12,9,7,5,12,14,4
9,7,9,11,16,2,3,6,2,10,2,9,12,2,6,7,8,3,5,4
12,2,3,4,9,3,2,5,7,4,13,2,4,2,10,6,3,10,6,5
1,6,4,0,5,7,11,3,9,3,10,6,13,1,15,0,10,6,2,9
7,0,2,6,7,1,4,9,11,5,8,1,1,6,2,4,12,1,12,1
3,7,16,0,13,4,10,9,4,8,6,0,11,3,8,8,7,1,3,5
4,2,11,6,2,4,16,0,16,0,11,1,7,2,3,4,1,5,4,6
16,1,5,3,11,3,14,2,10,1,16,0,5,7,1,7,16,3,1,6
10,2,7,4,4,10,6,1,5,2,5,3,3,11,13,1,15,2,7,2
11,4,8,2,1,11,8,5,13,0,15,3,15,1,4,4,6,2,8,5
8,6,12,0,8,3,5,6,1,8,7,5,16,2,7,2,9,1,10,3
2,7,13,0,6,0,9,2,6,3,12,4,8,3,12,0,2,7,9,2
6,7,14,4,10,2,12,1,8,1,1,7,14,2,5,3,11,0,15,1
15,1,10,2,14,4,13,1,14,5,3,9,9,2,14,2,14,4,13,2
13,0,6,1,15,0,15,1,3,4,4,2,6,3,11,0,13,0,11,1
14,0,15,0,3,2,7,4,12,1,14,1,10,1,16,0,4,2,16,2
