4,5,7,1,1,13,4,5,8,2,6,6,1,4,6,6,1,7,11,7,7,1,1,14,2,14,1,9,3,4
8,0,1,8,2,6,1,9,9,4,1,12,14,1,1,12,5,4,5,3,2,7,3,11,9,3,4,7,6,5
1,13,2,13,3,10,14,0,2,5,11,3,4,11,9,2,3,9,10,4,10,0,10,0,10,5,5,2,9,2
6,5,4,3,14,0,16,1,3,9,16,0,2,11,3,13,8,7,13,6,12,1,2,4,3,4,2,9,13,1
7,7,6,2,6,5,8,3,13,2,2,14,6,4,2,1,15,0,1,6,4,10,13,3,4,4,11,2,4,4
3,6,3,5,7,6,11,4,16,1,3,10,5,3,12,2,11,0,4,7,14,1,12,1,8,1,3,14,2,13
14,0,9,4,9,2,5,5,1,12,7,3,16,1,4,3,4,6,7,3,6,1,9,0,6,2,12,1,10,3
10,6,16,1,10,2,10,10,14,0,8,1,7,1,13,4,12,1,2,5,1,12,15,0,12,2,8,3,7,2
2,6,15,0,5,2,3,8,12,0,5,2,13,4,10,3,14,3,6,6,15,3,16,0,7,5,14,3,16,0
9,1,5,4,12,3,15,1,7,4,14,0,11,5,11,0,16,3,9,5,16,0,6,6,15,4,7,1,1,8
12,1,13,3,8,2,9,3,11,5,4,2,8,2,5,4,7,3,15,2,5,4,5,5,11,5,15,2,8,1
16,3,8,3,11,0,2,4,6,2,13,1,15,1,14,1,13,4,14,1,3,12,14,4,13,2,6,5,11,2
11,1,12,2,16,1,12,4,4,8,12,4,9,7,8,4,2,6,8,0,9,3,11,5,16,1,10,0,12,2
15,1,11,7,4,1,13,0,5,2,9,0,12,0,7,3,10,4,16,1,8,4,7,4,5,1,9,1,5,4
5,5,14,0,15,2,6,2,10,2,15,1,10,1,15,0,9,1,12,0,13,1,4,2,1,7,13,0,14,2
13,0,10,3,13,1,7,1,15,0,10,1,3,1,16,1,6,4,3,2,11,0,8,0,14,1,16,0,15,3
